tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,jumlah_rt,jumlah_rw
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,22,266
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,16,158
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,15,228
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,13,127
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,10,104
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,16,196
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,20,280
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,14,183
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,13,147
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,19,214
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,18,222
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,14,119
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU SELATAN,7,95
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,11,109
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,10,133
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,SUKAPURA,12,120
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,MARUNDA,11,113
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,KALIBARU,14,172
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER TIMUR,11,107
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,14,147
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,17,248
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,12,167
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,16,215
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,7,75
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,22,247
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,27,261
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,21,213
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,16,182
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,15,175
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,12,140
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,10,98
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,16,222
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,18,244
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,10,114
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,7,90
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,16,173
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,11,138
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,8,98
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,13,141
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,10,124
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,8,106
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KRUKUT,8,112
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MAPHAR,9,98
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TANGKI,7,82
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,6,52
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,10,118
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,5,61
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,PINANGSIA,7,57
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,TAMBORA,7,59
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,KALI ANYAR,9,101
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI UTARA,8,93
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,TANAH SEREAL,15,158
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,KRENDANG,7,84
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,10,100
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,11,140
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,8,107
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,PEKOJAN,12,144
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,ROA MALAKA,3,27
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,6,70
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,13,136
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,11,103
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,7,73
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,8,60
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,14,135
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,11,132
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,5,73
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,17,180
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,SEMANAN,12,117
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,16,165
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,10,102
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,20,188
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,PAL MERAH,PALMERAH,17,176
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,PAL MERAH,SLIPI,7,80
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,PAL MERAH,KOTA BAMBU UTARA,9,108
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,PAL MERAH,JATIPULO,10,150
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,PAL MERAH,KEMANGGISAN,9,114
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,PAL MERAH,KOTA BAMBU SELATAN,9,83
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,11,117
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,11,126
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,11,84
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,12,98
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,9,114
2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,9,78
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,11,110
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,8,102
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,12,134
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,14,153
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,12,150
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,10,128
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI,12,155
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,3,18
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,3,16
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,6,75
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,7,61
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,13,150
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,12,142
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,3,19
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,5,30
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,7,74
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,5,66
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,14,157
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,7,66
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,5,48
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,10,110
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,10,101
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,7,71
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,11,108
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,11,146
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,8,101
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,8,88
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,10,109
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,17,187
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,11,139
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,16,165
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,11,117
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,12,138
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,13,148
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,9,80
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,10,98
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,7,75
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,7,75
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,4,30
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,7,69
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,10,82
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,4,34
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,7,44
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,3,24
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PULO,6,46
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,6,76
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,15,147
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,11,104
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PANCORAN,5,62
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,10,133
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,RAWAJATI,11,101
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,7,79
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PENGADEGAN,8,85
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,5,42
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,7,82
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,19,156
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,6,63
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,10,114
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,6,66
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,6,65
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,8,85
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,15,143
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,11,122
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,8,84
2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,9,94
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,15,166
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,10,134
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,9,133
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PALMERIAM,10,128
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,4,64
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,14,173
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,11,119
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,14,166
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,18,183
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,9,86
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,15,167
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,17,180
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,11,137
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,9,113
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,16,189
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,6,74
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,9,109
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,11,154
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,16,184
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,10,130
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,14,189
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,KRAMATJATI,KRAMATJATI,10,108
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,KRAMATJATI,TENGAH,10,89
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,KRAMATJATI,DUKUH,6,66
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,KRAMATJATI,BATU AMPAR,6,86
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,KRAMATJATI,BALEKAMBANG,5,53
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,KRAMATJATI,CILILITAN,16,130
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,KRAMATJATI,CAWANG,12,121
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,12,117
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,10,80
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,11,110
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,10,103
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,PEKAYON,10,116
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,14,172
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,RAWA TERATE,6,60
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,19,247
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,14,153
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PULO GEBANG,17,203
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,10,104
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,10,107
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,17,181
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,13,182
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,18,200
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,14,166
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,10,137
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,13,134
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,11,106
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MAKASAR,MAKASAR,7,94
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MAKASAR,PINANGRANTI,5,54
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,12,144
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,16,144
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,13,135
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,10,142
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,14,155
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,12,134
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,SUSUKAN,7,91
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,RAMBUTAN,6,87
2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,8,59
